IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
tuvu087,325,5,1,1
vuci475,326,3,2,2
seto741,327,5,1,1
jewe923,328,3,2,2
jaqy340,329,2,4,4
pubu440,330,5,1,1
gyjy255,331,3,2,2
zyte492,332,4,4,4
ruco451,333,2,4,4
loda300,334,3,2,2
moly152,335,5,1,1
cuba307,336,2,4,4
jupo405,337,5,1,1
xuke183,338,3,2,2
mado232,339,1,5,5
zafy372,340,6,3,3
gyly160,341,0,0,0
tapi010,342,5,1,1
gelu604,343,6,3,3
qiqi041,344,3,2,2
ratu271,345,2,4,4
kyqu130,346,3,2,2
lucu601,347,3,2,2
kama922,348,2,4,4
zoma564,349,3,2,2
puju088,350,2,4,4
jufy997,351,4,4,4
wyja070,352,2,4,4
dasy955,353,3,2,2
wyki565,354,0,0,0
garu074,355,3,2,2
qyxy586,356,4,4,4
kegi864,357,7,3,3
gyge774,358,2,4,4
vyda893,359,5,1,1
vuvy608,360,4,4,4
vizo712,361,3,2,2
givi158,362,0,0,0
caro445,363,4,4,4
nene689,364,7,3,3
ryfy568,365,0,0,0
johy783,366,1,5,5
sulo956,367,0,0,0
gony054,368,4,4,4
puca767,369,2,4,4
baky109,370,5,1,1
mabo887,371,2,4,4
cona428,372,4,4,4
lilo882,373,2,4,4
gycy436,374,2,4,4
jyri631,375,4,4,4
safu128,376,7,3,3
fore104,377,4,4,4
zabe850,378,4,4,4
woci389,379,2,4,4
kygi723,380,4,4,4
qejy219,381,7,3,3
jago498,382,4,4,4
buby593,383,3,2,2
dapu822,384,4,4,4
sugu976,385,5,1,1
wuxa997,386,2,4,4
tiqy778,387,3,2,2
xyfe491,388,1,5,5
ryhy064,389,4,4,4
kufi222,390,3,2,2
xaja332,391,2,4,4
fofa613,392,5,1,1
viba035,393,1,5,5
qewy924,394,3,2,2
pytu496,395,2,4,4
tosa657,396,3,2,2
keri121,397,6,3,3
bofi991,398,0,0,0
bihi184,399,5,1,1
piro376,400,2,4,4
zejy480,401,1,5,5
zapy404,402,0,0,0
lusi512,403,2,4,4
sedo490,404,5,1,1
davu999,405,2,4,4
buby236,406,1,5,5
weru214,407,3,2,2
tyly265,408,1,5,5
nise834,409,1,5,5
voxy002,410,5,1,1
fypi681,411,2,4,4
xopa120,412,5,1,1
wari483,413,2,4,4
kegy317,414,2,4,4
geka905,415,2,4,4
lore323,416,5,1,1
vane668,417,7,3,3
zuxy510,418,5,1,1
masu336,419,3,2,2
xise560,420,2,4,4
zomi496,421,1,5,5
lilu285,422,1,5,5
heqi003,423,1,5,5
jise415,424,6,3,3
vabe169,425,7,3,3
kofa904,426,1,5,5
peqo117,427,5,1,1
gaho243,428,2,4,4
mude815,429,5,1,1
raxe285,430,3,2,2
qami382,431,4,4,4
bebo956,432,1,5,5
cofi309,433,4,4,4
buqe642,434,4,4,4
vuzo690,435,2,4,4
posy958,436,4,4,4
gaga585,437,3,2,2
vopa930,438,2,4,4
xutu412,439,7,3,3
doxi119,440,1,5,5
feqy379,441,3,2,2
xypo299,442,1,5,5
gahu141,443,6,3,3
kyse146,444,4,4,4
sedi312,445,3,2,2
nasi298,446,7,3,3
naky151,447,0,0,0
koqa816,448,7,3,3
sila763,449,3,2,2
pody147,450,4,4,4
voza333,451,6,3,3
tiro932,452,2,4,4
wujy562,453,4,4,4
hamu369,454,4,4,4
nape687,455,1,5,5
gevi782,456,2,4,4
qoha890,457,6,3,3
fili803,458,6,3,3
puce552,459,5,1,1
buny935,460,3,2,2
pimi228,461,0,0,0
kyjo289,462,2,4,4
bepo134,463,3,2,2
kise589,464,4,4,4
remi231,465,0,0,0
qyjo579,466,2,4,4
cyhu257,467,5,1,1
diha837,468,2,4,4
ware232,469,7,3,3
hyge979,470,4,4,4
biqe951,471,3,2,2
jide437,472,7,3,3
zipu412,473,3,2,2
vate767,474,2,4,4
mefy253,475,4,4,4
qafe413,476,5,1,1
lota555,477,5,1,1
mecu237,478,2,4,4
cidy099,479,6,3,3
xoba600,480,4,4,4
joce161,481,5,1,1
kywu572,482,6,3,3
jefi901,483,3,2,2
mari840,484,2,4,4
nypy058,485,3,2,2
rino885,486,3,2,2
maju644,487,1,5,5
qosy291,488,3,2,2
posy537,489,6,3,3
xoki390,490,1,5,5
fagi164,491,5,1,1
zozy719,492,4,4,4
bopa107,493,3,2,2
jyly989,494,0,0,0
togu404,495,3,2,2
gosa272,496,0,0,0
fovo989,497,4,4,4
sira606,498,3,2,2
loby351,499,2,4,4
fike806,500,3,2,2
fafe171,501,1,5,5
zyvo780,502,3,2,2
xune455,503,2,4,4
vamu972,504,7,3,3
suzo040,505,0,0,0
wype120,506,2,4,4
jicu869,507,0,0,0
wero373,508,3,2,2
juqo313,509,3,2,2
vexo008,510,1,5,5
punu787,511,1,5,5
tomo782,512,5,1,1
cupe992,513,1,5,5
kyjo535,514,3,2,2
raja244,515,2,4,4
pino324,516,2,4,4
qutu379,517,1,5,5
nolu547,518,0,0,0
cape571,519,5,1,1
coma628,520,2,4,4
mida684,521,7,3,3
gaqe214,522,3,2,2
pufe463,523,7,3,3
fifa517,524,6,3,3
wuzy577,525,6,3,3
sire515,526,7,3,3
xyhi085,527,6,3,3
nexy906,528,6,3,3
pyzi618,529,7,3,3
muku118,530,3,2,2
kewi488,531,3,2,2
xafu780,532,5,1,1
wowy820,533,1,5,5
ryzo168,534,2,4,4
xavy753,535,1,5,5
deje129,536,1,5,5
