IDCode,kmeans_label,agglomerative_label,birch_label,gmm_label,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,best_overall_label
niri091,1,0,0,0,0,0,0,0
lazi600,1,0,0,0,3,9,3,0
qedo478,0,1,0,0,1,1,1,0
ruhu758,1,0,0,0,3,0,3,0
cima563,1,0,0,0,3,6,3,0
lyzy104,1,0,0,0,4,4,4,0
xafy802,1,0,0,0,0,0,0,0
bacy598,0,1,1,1,2,5,2,1
kexi927,0,1,0,1,1,8,1,0
cumo221,1,0,0,0,3,9,3,0
kami789,0,0,0,0,0,0,0,0
zoko875,1,0,0,0,1,3,1,0
sina926,1,0,0,0,3,3,3,0
fise899,0,0,0,0,0,4,0,0
cija437,1,0,0,0,1,3,1,0
manu258,1,0,0,0,4,7,4,0
zuwa573,1,0,0,0,0,0,0,0
joxi410,0,0,0,0,2,1,2,0
muta539,1,0,0,0,3,2,3,0
reqy562,1,0,0,0,3,0,3,0
doxe492,1,0,0,0,3,1,3,0
gylu244,0,1,0,1,1,8,1,0
maxy370,1,0,0,0,0,0,0,0
ryko512,1,0,0,0,3,0,3,0
kula014,1,0,0,0,3,9,3,0
jeqy595,0,1,0,0,1,1,1,0
guva627,1,0,0,0,3,9,3,0
lohy238,1,0,0,0,0,0,0,0
cobi870,1,1,0,0,1,1,1,0
giki066,1,0,0,0,3,2,3,0
hywy001,1,0,0,0,1,3,1,0
feji918,1,0,0,0,0,6,0,0
luli756,1,0,0,0,1,3,1,0
wumu083,1,0,0,0,0,0,0,0
cyga680,1,0,0,0,3,3,3,0
buvy316,1,0,0,0,0,0,0,0
rejy122,1,0,0,0,0,0,0,0
dusi300,1,0,0,0,0,0,0,0
howe436,1,0,0,0,0,4,0,0
ropi792,1,0,0,0,3,9,3,0
jemy300,1,0,0,0,3,9,3,0
qexo432,1,0,0,0,3,9,3,0
kyso927,1,0,0,0,3,2,3,0
cozi663,0,1,1,0,1,3,1,1
vani542,1,0,0,0,3,9,3,0
kaxu871,1,0,0,0,0,6,0,0
moku835,1,0,0,0,3,3,3,0
cahe192,1,0,0,0,3,9,3,0
feso129,1,0,0,0,1,3,1,0
tufa140,1,0,0,0,1,3,1,0
zigi489,0,1,0,0,1,3,1,0
dahi696,1,0,0,0,3,9,3,0
quhe482,0,1,0,0,1,3,1,0
taxa827,1,0,0,0,3,9,3,0
vuga321,1,0,0,0,3,9,3,0
nycu731,1,0,0,0,1,3,1,0
raxy329,1,0,0,0,3,9,3,0
nyfe489,1,0,0,0,0,0,0,0
texu966,0,1,0,0,1,3,1,0
kifo712,1,0,0,0,1,8,1,0
pajo050,0,1,0,0,1,8,1,0
hefy659,1,0,0,0,1,3,1,0
tujy672,1,0,0,0,1,3,1,0
cyfe247,0,1,0,0,1,3,1,0
xori482,1,0,0,0,1,8,1,0
raje697,1,0,0,0,3,6,3,0
biwu043,1,0,0,0,1,3,1,0
cylu852,1,0,0,0,0,0,0,0
fode209,0,0,0,0,4,7,4,0
woju333,1,1,0,0,0,4,0,0
saca329,1,0,0,0,0,0,0,0
jizi110,1,0,0,0,4,6,4,0
vyxi492,1,0,0,0,3,9,3,0
xehy451,1,0,0,0,4,6,4,0
feke878,1,0,0,0,0,0,0,0
rozu771,0,0,0,0,4,7,4,0
duvi856,1,0,0,0,0,0,0,0
nexu635,1,0,0,0,3,9,3,0
cozi454,0,0,0,0,4,7,4,0
saze236,1,0,0,0,0,4,0,0
quzy338,1,0,0,0,0,1,0,0
lula174,1,0,0,0,3,9,3,0
buzo685,0,0,0,0,1,1,1,0
huby293,1,0,0,0,4,6,4,0
dyhi182,1,0,0,0,0,0,0,0
tatu362,1,0,0,0,0,4,0,0
bene344,1,0,0,0,4,6,4,0
keho061,0,0,0,0,1,1,1,0
vyxy108,1,0,0,0,0,1,0,0
zusa663,1,0,0,0,0,0,0,0
nehe056,1,0,0,0,3,2,3,0
myve834,1,0,0,0,3,2,3,0
tyhy481,1,0,0,0,0,0,0,0
sati762,1,0,0,0,0,0,0,0
biku776,0,0,0,0,0,0,0,0
wify666,1,0,0,0,3,9,3,0
sony276,1,0,0,0,3,2,3,0
tusi463,1,0,0,0,0,0,0,0
baco446,0,1,0,0,1,1,1,0
coni238,1,1,0,0,1,1,1,0
tuvu087,0,1,0,1,1,1,1,0
vuci475,0,1,0,0,1,8,1,0
seto741,0,1,1,1,2,8,2,1
jewe923,1,0,0,0,1,3,1,0
jaqy340,1,1,0,0,1,1,1,0
pubu440,0,1,1,1,2,8,2,1
gyjy255,1,0,0,0,1,3,1,0
zyte492,1,0,0,0,3,9,3,0
ruco451,0,1,0,0,2,4,2,0
loda300,1,1,0,0,1,1,1,0
moly152,0,1,1,1,2,1,2,1
cuba307,1,0,0,0,3,9,3,0
jupo405,0,1,0,0,1,1,1,0
xuke183,1,0,0,0,3,9,3,0
mado232,0,1,0,0,2,1,2,0
zafy372,1,0,0,0,3,3,3,0
gyly160,1,0,0,0,1,3,1,0
tapi010,0,1,1,1,2,5,2,1
gelu604,1,0,0,0,3,2,3,0
qiqi041,0,1,0,0,1,1,1,0
ratu271,1,0,0,0,0,0,0,0
kyqu130,1,0,0,0,3,3,3,0
lucu601,1,0,0,0,3,2,3,0
kama922,1,0,0,0,0,0,0,0
