IDCode,narrative_text
nopo152,Accuracy low (54.39%); speed fast (12.91s); timing stable (var=93.23); correct streak moderate (14); incorrect streak long (11); consecutive correct rare (0.41).
tivy194,Accuracy medium (63.16%); speed fast (13.27s); timing stable (var=114.29); correct streak short (7); incorrect streak short (3); consecutive correct rare (0.41).
biry098,Accuracy low (57.89%); speed slow (22.28s); timing moderately variable (var=199.81); correct streak short (10); incorrect streak long (10); consecutive correct rare (0.43).
tebo981,Accuracy medium (84.21%); speed fast (14.34s); timing moderately variable (var=174.30); correct streak long (31); incorrect streak short (3); consecutive correct frequent (0.71).
jyma323,Accuracy medium (77.19%); speed fast (13.42s); timing moderately variable (var=197.16); correct streak long (19); incorrect streak short (3); consecutive correct occasional (0.62).
cani065,Accuracy medium (78.95%); speed moderate (18.96s); timing moderately variable (var=169.10); correct streak long (21); incorrect streak short (2); consecutive correct occasional (0.64).
puxi257,Accuracy low (52.63%); speed fast (11.94s); timing moderately variable (var=167.49); correct streak short (8); incorrect streak long (10); consecutive correct rare (0.36).
jemy201,Accuracy medium (68.42%); speed fast (14.23s); timing stable (var=109.42); correct streak short (11); incorrect streak long (5); consecutive correct occasional (0.55).
woqa919,Accuracy medium (77.19%); speed slow (22.11s); timing moderately variable (var=291.67); correct streak short (10); incorrect streak short (3); consecutive correct occasional (0.61).
huze427,Accuracy low (45.61%); speed fast (12.04s); timing stable (var=73.53); correct streak short (5); incorrect streak long (11); consecutive correct rare (0.29).
jaxe723,Accuracy medium (80.70%); speed moderate (14.85s); timing stable (var=106.63); correct streak moderate (14); incorrect streak short (2); consecutive correct frequent (0.68).
xamy676,Accuracy medium (64.91%); speed moderate (18.09s); timing moderately variable (var=271.50); correct streak short (7); incorrect streak long (5); consecutive correct rare (0.46).
lowy720,Accuracy medium (71.93%); speed slow (23.97s); timing highly variable (var=2110.59); correct streak short (11); incorrect streak moderate (4); consecutive correct occasional (0.61).
mixa281,Accuracy low (56.14%); speed moderate (19.32s); timing moderately variable (var=244.56); correct streak moderate (13); incorrect streak long (7); consecutive correct rare (0.41).
