IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
vuzo690,435,1,1,1
posy958,436,5,5,5
gaga585,437,7,7,7
vopa930,438,1,1,1
xutu412,439,0,0,0
doxi119,440,4,4,4
feqy379,441,3,3,3
xypo299,442,4,4,4
gahu141,443,8,8,8
kyse146,444,5,5,5
sedi312,445,3,3,3
nasi298,446,0,0,0
naky151,447,9,9,9
koqa816,448,0,0,0
sila763,449,3,3,3
pody147,450,5,5,5
voza333,451,8,8,8
tiro932,452,1,1,1
wujy562,453,5,5,5
hamu369,454,5,5,5
nape687,455,4,4,4
gevi782,456,1,1,1
qoha890,457,8,8,8
fili803,458,8,8,8
puce552,459,2,2,2
buny935,460,7,7,7
pimi228,461,9,9,9
kyjo289,462,1,1,1
bepo134,463,3,3,3
kise589,464,5,5,5
remi231,465,9,9,9
qyjo579,466,1,1,1
cyhu257,467,2,2,2
diha837,468,1,1,1
ware232,469,0,0,0
hyge979,470,5,5,5
biqe951,471,7,7,7
jide437,472,0,0,0
zipu412,473,7,7,7
vate767,474,1,1,1
mefy253,475,5,5,5
qafe413,476,2,2,2
lota555,477,2,2,2
mecu237,478,1,1,1
cidy099,479,8,8,8
xoba600,480,5,5,5
joce161,481,2,2,2
kywu572,482,8,8,8
jefi901,483,3,3,3
mari840,484,1,1,1
nypy058,485,7,7,7
rino885,486,7,7,7
maju644,487,4,4,4
qosy291,488,7,7,7
posy537,489,8,8,8
xoki390,490,4,4,4
fagi164,491,2,2,2
zozy719,492,5,5,5
bopa107,493,3,3,3
jyly989,494,6,6,6
togu404,495,7,7,7
gosa272,496,9,9,9
fovo989,497,5,5,5
sira606,498,3,3,3
loby351,499,1,1,1
fike806,500,7,7,7
fafe171,501,4,4,4
zyvo780,502,3,3,3
xune455,503,1,1,1
vamu972,504,0,0,0
suzo040,505,9,9,9
wype120,506,1,1,1
jicu869,507,6,6,6
wero373,508,3,3,3
juqo313,509,3,3,3
vexo008,510,4,4,4
punu787,511,4,4,4
tomo782,512,2,2,2
cupe992,513,4,4,4
kyjo535,514,7,7,7
raja244,515,1,1,1
pino324,516,1,1,1
qutu379,517,4,4,4
nolu547,518,9,9,9
cape571,519,2,2,2
coma628,520,1,1,1
mida684,521,0,0,0
gaqe214,522,3,3,3
pufe463,523,0,0,0
fifa517,524,8,8,8
wuzy577,525,8,8,8
sire515,526,0,0,0
xyhi085,527,8,8,8
nexy906,528,8,8,8
pyzi618,529,0,0,0
muku118,530,7,7,7
kewi488,531,7,7,7
xafu780,532,2,2,2
wowy820,533,4,4,4
ryzo168,534,1,1,1
xavy753,535,4,4,4
deje129,536,4,4,4
