K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
37,diag,-20011.14483315356,-22702.751636505127,inf,0.09633703529834747,31.355235849131187,1.4217998052297456
37,tied,-21219.18438380741,-22796.43168258667,-21179.86025401525,0.08733491599559784,29.327630772184772,1.528434768697915
37,spherical,-21180.564981171883,-22762.098278045654,-21127.008457686374,0.10858199745416641,33.02992346362627,1.380967702565707
38,full,-15750.87761006101,-23075.64835357666,inf,0.06641887873411179,27.63501983354376,1.7023124841064392
38,diag,-19917.54275705692,-22682.011528015137,inf,0.07495416700839996,29.08337983328313,1.5761460444762003
38,tied,-21212.67965297099,-22828.50093460083,-21035.97263271405,0.09440220147371292,28.892751807062254,1.438619919118213
38,spherical,-21123.791071241198,-22748.18434906006,-20913.534667531392,0.10255302488803864,32.8949270746184,1.4136287252872446
39,full,-15681.298776282965,-23198.939434051514,inf,0.07842673361301422,28.87685399018965,1.6123931817506265
39,diag,-19893.29034374104,-22730.62108230591,inf,0.08207600563764572,28.970992991179987,1.530981374186372
39,tied,-21159.395548965622,-22813.790813446045,-20822.03081344604,0.08661262691020966,28.778278136289213,1.425632125388449
39,spherical,-21102.224600733123,-22769.47785949707,-20705.396226844015,0.10314507782459259,33.15761902421638,1.4090022830564775
40,full,-15343.332609588659,-23053.843181610107,inf,0.0780821219086647,28.417440763536348,1.6430372426737758
40,diag,-19769.40950101232,-22679.602207183838,inf,0.06090410798788071,27.3039061924961,1.665434589033579
40,tied,-21099.49891139092,-22792.468158721924,-20573.7447544666,0.09310451149940491,28.412951027449328,1.4721777173045603
40,spherical,-21091.896159705026,-22802.009399414062,-20472.082392114793,0.09962005913257599,31.96263350154747,1.4004621234690204
41,full,-15253.182814812079,-23156.563301086426,inf,0.08602296561002731,28.848052950317964,1.6293456400859299
41,diag,-19728.84903944815,-22711.90371322632,inf,0.06871360540390015,27.34514688132015,1.6319415488775812
41,tied,-21072.759172314756,-22804.302402496338,-20325.211493405426,0.09066490083932877,28.0194158309659,1.457530809142728
41,spherical,-21056.903869799975,-22809.8770904541,-20169.089688879292,0.10692445933818817,32.22093187384451,1.3681240244933948
42,full,-14987.339969650977,-23083.590370178223,inf,0.07954512536525726,28.605145921844645,1.646417926067127
42,diag,-19688.247608035344,-22744.164249420166,inf,0.058005329221487045,27.4345065167715,1.5259590149851088
42,tied,-21016.941083171452,-22787.058296203613,-20006.863174252398,0.09352869540452957,28.082793276116053,1.5118415487838142
42,spherical,-21005.038147735504,-22800.871349334717,-19792.666221129606,0.11132275313138962,31.959943461065027,1.3755215613637994
43,full,-14945.958634194465,-23235.07894897461,inf,0.07775945961475372,27.036727794063584,1.6584764546590791
43,diag,-19540.792714403302,-22669.571323394775,inf,0.08115612715482712,27.682360459678918,1.5677115286821397
43,tied,-20992.89101465803,-22801.58221054077,-19669.89800001446,0.08891027420759201,27.28626049369017,1.4895000115736388
43,spherical,-20933.185285015512,-22771.878467559814,-19323.84108438225,0.09493370354175568,31.63251068195342,1.3704397955136887
44,full,-14672.05701980729,-23154.047248840332,inf,0.07547935843467712,26.952371709392054,1.6229777901213025
44,diag,-19510.359999421165,-22712.000576019287,inf,0.08289872854948044,26.536840342988416,1.558504911722631
44,tied,-20963.363277382403,-22810.628456115723,-19264.114170401448,0.09523514658212662,27.596160172651313,1.3943096362072962
44,spherical,-20899.01444057555,-22780.56760406494,-18797.887191693797,0.07879925519227982,29.94508933449105,1.3861069941891517
45,full,-14481.121397393988,-23155.98154067993,inf,0.07446301728487015,27.260212948353022,1.5938044069775597
45,diag,-19428.11681385797,-22702.619358062744,inf,0.08462871611118317,27.820886616285712,1.471671875451852
45,tied,-20938.315593054773,-22824.154754638672,-18781.654754638694,0.09818670898675919,27.472496633325147,1.4246117891272636
45,spherical,-20929.61487833163,-22854.028022766113,-18209.200436559186,0.09952829033136368,30.801215707799177,1.3507082875930971
46,full,-14274.95318525901,-23142.68324279785,inf,0.0807163342833519,27.400098254452974,1.571180392160445
46,diag,-19316.389676726176,-22663.754188537598,inf,0.06772918999195099,26.476253565690136,1.5171145912369104
46,tied,-20864.716589604825,-22789.129734039307,-18144.30214783238,0.09282471984624863,28.5842899961738,1.4312799259019835
46,spherical,-20836.074626237863,-22803.34775161743,-17319.1919074616,0.09579978138208389,30.29232206703451,1.3751406696943866
47,full,-14119.333572367195,-23179.933544158936,inf,0.08470244705677032,26.717401365499573,1.6222030720712337
47,diag,-19347.909518354143,-22768.135997772217,inf,0.08639611303806305,26.93622074415804,1.4447634938317593
47,tied,-20891.551073093357,-22854.538200378418,-17464.2305080707,0.10529866814613342,27.141026704501744,1.3890006183819015
47,spherical,-20845.362548735156,-22855.495655059814,-16275.495655059807,0.10449063032865524,30.840272940858817,1.3501232136811014
48,full,-13809.569000979287,-23063.038887023926,inf,0.07910942286252975,26.890101521451818,1.5175978936897454
48,diag,-19259.7134137846,-22752.801860809326,inf,0.0671326071023941,25.618346270565624,1.562032005530896
48,tied,-20807.267133119974,-22808.828243255615,-16473.871721516465,0.09039316326379776,27.02905934221431,1.3463087692074212
48,spherical,-20859.18173649124,-22912.174823760986,-14844.806402708295,0.09037819504737854,28.92245628439381,1.3574859772037726
49,full,-13659.971955836494,-23106.311756134033,inf,0.08491282165050507,26.69886479405154,1.5733027645044797
49,diag,-19230.15540507077,-22796.10581970215,inf,0.08158555626869202,27.232528348614803,1.4485361402694168
49,tied,-20769.57615350426,-22809.71124649048,-15241.31124649046,0.09871989488601685,26.477453410423472,1.34452228371496
49,spherical,-20819.438992637217,-22915.29206085205,-12719.121848086153,0.10446502268314362,29.676304169503858,1.2822637930554515
50,full,-13474.993349414406,-23114.203063964844,inf,0.08968759328126907,27.574018746955108,1.5437414728841525
50,diag,-19174.937980158214,-22813.75036239624,inf,0.08802539110183716,26.71040154701319,1.4523567968201954
50,tied,-20714.27838143859,-22792.98745727539,-13549.458045510684,0.11042744666337967,27.844563979530705,1.3037497409236745
50,spherical,-20761.624448551258,-22900.33749771118,-9413.851011224695,0.10219868272542953,29.193118380427464,1.2962438085725798
51,full,-13278.123244426644,-23110.20287322998,inf,0.07324302196502686,25.6236803023134,1.6021905013307016
51,diag,-19048.73414701201,-22760.40849685669,inf,0.08463804423809052,26.26204924809548,1.4873050131930245
51,tied,-20714.392329648803,-22831.67538833618,-11187.389674050504,0.11165094375610352,27.5464200850006,1.3299796087872646
51,spherical,-20702.65045774899,-22884.223487854004,-3655.3345989648915,0.09374260157346725,28.860110200627236,1.3545936179616096
52,full,-13059.43669504191,-23084.386238098145,inf,0.08794212341308594,26.286496070754172,1.5788816058325574
52,diag,-18931.67888106552,-22716.215198516846,inf,0.0762767419219017,25.820067972624674,1.44125993082954
52,tied,-20649.204436123175,-22805.061477661133,-7440.697841297617,0.09749873727560043,27.199629445978736,1.353319053229936
52,spherical,-20648.68707943452,-22873.12009048462,8877.46814480882,0.09538627415895462,28.422028236664765,1.3426889460120854
53,full,-12959.421360714548,-23177.24081802368,inf,0.0965162068605423,26.80187283417865,1.4529018357135575
53,diag,-18925.711311194464,-22783.10959625244,inf,0.09500560909509659,26.749044918293187,1.3597623047582166
53,tied,-20633.57776848866,-22828.008792877197,-940.0087928775356,0.0941111370921135,26.070963342273192,1.3382503107713166
53,spherical,-20695.41939508977,-22962.71238708496,57143.00189862933,0.11052064597606659,29.19647555433583,1.2676637817001584
54,full,-12797.420693898172,-23208.110065460205,inf,0.09108024090528488,26.33527837433961,1.5232787411082926
54,diag,-18816.87254839128,-22747.13280105591,inf,0.08922228962182999,26.489271077076655,1.5009969789306088
54,tied,-20564.749703912006,-22797.754711151123,13463.845288847719,0.09764764457941055,25.698340881220407,1.3636794605751845
54,spherical,-20636.799793478178,-22946.952766418457,inf,0.09508980810642242,28.331698426289197,1.3195373500525873
55,full,-12559.824510876962,-23163.383796691895,inf,0.09707534313201904,27.162860550874345,1.491014812715043
55,diag,-18794.154455906697,-22797.27667617798,inf,0.086863212287426,25.715353752446003,1.4086739181824368
55,tied,-20550.7229088666,-22822.3018989563,70987.69810104914,0.0998581051826477,25.937831213051393,1.369220399479897
55,spherical,-20588.850788943004,-22941.86374282837,inf,0.10627350211143494,28.88989224488675,1.2754734712178546
56,full,-12305.50443564384,-23101.93363571167,inf,0.08878840506076813,25.811649141246082,1.46350460704945
56,diag,-18666.195064746582,-22742.17925262451,inf,0.08021644502878189,26.245176393546117,1.4276082864245156
56,tied,-20488.546299215483,-22798.69927215576,inf,0.11306934803724289,26.974811706206907,1.3265197943301783
56,spherical,-20524.17379521105,-22920.046730041504,inf,0.10707499831914902,28.2795478212655,1.269663294261822
57,full,-12156.616168882396,-23145.915283203125,inf,0.09210792183876038,25.994885731823125,1.5548565973724453
57,diag,-18617.575833956336,-22766.421989440918,inf,0.07665152102708817,24.720708733218668,1.40418890559405
57,tied,-20457.855018238683,-22806.58197402954,inf,0.09957583993673325,26.050838975771914,1.333361075204881
57,spherical,-20546.287328822844,-22985.02024459839,inf,0.1021328717470169,27.67511897730517,1.2406469813342333
58,full,-11941.231789297464,-23123.400817871094,inf,0.10003143548965454,26.241746647769244,1.4277663798833653
58,diag,-18532.472952958575,-22754.181076049805,inf,0.06339643150568008,24.00635808313851,1.420249766209479
58,tied,-20422.919260943523,-22810.22019958496,inf,0.111036516726017,27.083742792520738,1.2995604746897629
58,spherical,-20506.054995277656,-22987.64789199829,inf,0.11373549699783325,28.0841939459086,1.2590506321736847
59,full,-11680.969037520154,-23056.00798034668,inf,0.10056916624307632,26.35740451933619,1.4092484271684278
59,diag,-18458.80680520666,-22753.37689590454,inf,0.07455756515264511,24.441270820607524,1.4558587889642922
59,tied,-20386.811765977465,-22812.686687469482,inf,0.09323452413082123,24.7295225227271,1.405430166218111
59,spherical,-20507.781932209768,-23032.23480987549,inf,0.0888463482260704,26.83260719312392,1.2317836465956895
60,full,-11541.552999762614,-23109.46185684204,inf,0.09261545538902283,25.487534002272337,1.4279555370992802
60,diag,-18415.022016555085,-22782.45407485962,inf,0.08322635293006897,25.07420848901849,1.3704074556158186
60,tied,-20325.07148521429,-22789.520389556885,inf,0.10768219828605652,26.07460941163705,1.3083954073610091
60,spherical,-20409.86610028201,-22977.178958892822,inf,0.1087476909160614,27.77509846296827,1.2768823167796364
61,full,-11423.31837374824,-23184.097145080566,inf,0.08672267198562622,24.764895797061804,1.4244993302419116
61,diag,-18343.260966764596,-22783.55499267578,inf,0.07796420902013779,23.52416872233418,1.4395774119676208
61,tied,-20282.961907423523,-22785.9847946167,inf,0.10112297534942627,25.74051744722567,1.3074083961123801
61,spherical,-20349.25331553443,-22959.426155090332,inf,0.09215115010738373,26.70331330948868,1.2553660325366707
