Subject,Cluster_A,Cluster_B,Mean_A,Mean_B,Cohen_d,Abs_d
S5,0,3,4.170212765957447,5.12280701754386,-0.7887470307013704,0.7887470307013704
S5,0,4,4.170212765957447,4.355555555555555,-0.14706379471514147,0.14706379471514147
S5,0,5,4.170212765957447,2.051282051282051,1.699775996061831,1.699775996061831
S5,0,6,4.170212765957447,3.87,0.2415679278480039,0.2415679278480039
S5,0,7,4.170212765957447,3.3783783783783785,0.6169236083237399,0.6169236083237399
S5,1,2,2.066666666666667,3.4941176470588236,-0.9856493758212806,0.9856493758212806
S5,1,3,2.066666666666667,5.12280701754386,-2.1770655686217926,2.1770655686217926
S5,1,4,2.066666666666667,4.355555555555555,-1.5777582593262163,1.5777582593262163
S5,1,5,2.066666666666667,2.051282051282051,0.010600557158781028,0.010600557158781028
S5,1,6,2.066666666666667,3.87,-1.3015338788335424,1.3015338788335424
S5,1,7,2.066666666666667,3.3783783783783785,-0.9148929097486367,0.9148929097486367
S5,2,3,3.4941176470588236,5.12280701754386,-1.2507584310694217,1.2507584310694217
S5,2,4,3.4941176470588236,4.355555555555555,-0.6404701740775798,0.6404701740775798
S5,2,5,3.4941176470588236,2.051282051282051,1.076543246949401,1.076543246949401
S5,2,6,3.4941176470588236,3.87,-0.2876158568365808,0.2876158568365808
S5,2,7,3.4941176470588236,3.3783783783783785,0.08595538425931992,0.08595538425931992
S5,3,4,5.12280701754386,4.355555555555555,0.6173645853280764,0.6173645853280764
S5,3,5,5.12280701754386,2.051282051282051,2.498710997636465,2.498710997636465
S5,3,6,5.12280701754386,3.87,1.0164835517757667,1.0164835517757667
S5,3,7,5.12280701754386,3.3783783783783785,1.375280022379014,1.375280022379014
S5,4,5,4.355555555555555,2.051282051282051,1.7878816715091044,1.7878816715091044
S5,4,6,4.355555555555555,3.87,0.38317841725231594,0.38317841725231594
S5,4,7,4.355555555555555,3.3783783783783785,0.7442100253313636,0.7442100253313636
S5,5,6,2.051282051282051,3.87,-1.4444027013378185,1.4444027013378185
S5,5,7,2.051282051282051,3.3783783783783785,-1.0162144601272507,1.0162144601272507
S5,6,7,3.87,3.3783783783783785,0.383460347362235,0.383460347362235
