IDCode,n_items,accuracy,avg_rt,var_rt,rt_cv,longest_correct_streak,longest_incorrect_streak,consecutive_correct_rate
powu461,57.0,0.8771929824561403,20.786122807017545,204.25080994804196,0.6875565201413356,40.0,2.0,0.8035714285714286
peqa279,57.0,0.8245614035087719,19.13182456140351,268.80647413176695,0.8569657646884541,38.0,3.0,0.75
lufy687,57.0,0.6140350877192983,18.677894736842106,743.218450584555,1.459588112998357,11.0,8.0,0.44642857142857145
koze985,57.0,0.8771929824561403,21.78247368421053,325.46717589125944,0.8282213082766771,31.0,2.0,0.8035714285714286
hadi890,57.0,0.7368421052631579,17.186087719298246,130.8624560778822,0.6656263552787935,16.0,5.0,0.6071428571428571
recu163,57.0,0.8070175438596491,25.05471929824561,959.2685434814068,1.236176718759902,21.0,3.0,0.6964285714285714
xyzi642,57.0,0.8771929824561403,25.92161403508772,688.5423636766446,1.012286146055632,30.0,2.0,0.8035714285714286
nejy388,57.0,0.631578947368421,25.444403508771927,771.7176638009397,1.0917845550447538,9.0,8.0,0.5
tezy480,57.0,0.7543859649122807,11.214947368421052,75.93276497694235,0.7769934672484953,15.0,3.0,0.5892857142857143
nawu690,57.0,0.7368421052631579,17.606929824561405,189.91895982772553,0.7827093615904415,21.0,5.0,0.6607142857142857
mofe780,57.0,0.6140350877192983,25.471684210526316,1018.8031321181387,1.253105031771,8.0,5.0,0.4107142857142857
nily317,57.0,0.3684210526315789,32.35494736842105,996.4942017373594,0.9756559340462352,5.0,9.0,0.16071428571428573
roho333,57.0,0.543859649122807,27.795649122807013,659.9017026133772,0.9241932743611263,13.0,11.0,0.4107142857142857
xime971,57.0,0.49122807017543857,14.672105263157896,172.65368303098373,0.8955616533121098,8.0,17.0,0.3392857142857143
muqo157,57.0,0.5614035087719298,21.70957894736842,492.3123003707393,1.0220424700016228,7.0,6.0,0.375
riby296,57.0,0.6666666666666666,17.59643859649123,125.84707616342419,0.6375243639013557,8.0,5.0,0.48214285714285715
