IDCode,S1,S2,S3,S5,S6,Missing_total,gmm_aicc_best_label
syco853,13,32,5,6,5,0.0,4
sefy975,11,23,4,2,2,20.84210526,1
jese656,11,28,5,5,6,0.0,0
guge611,10,26,1,5,0,0.0,1
mesi806,8,22,4,4,4,0.0,4
sesi698,10,30,5,6,3,0.0,3
gopa505,9,25,4,5,3,0.0,4
duwi894,10,29,5,5,5,0.0,0
hasa034,7,26,4,4,4,0.0,4
pile112,13,32,4,6,6,0.0,0
sivi804,8,20,3,7,4,0.0,1
maho931,10,21,3,4,4,13.89473684,2
waho571,10,26,3,3,3,0.0,0
mowy859,3,24,2,2,3,0.0,2
rihi168,6,18,2,3,1,0.0,2
siry766,8,30,5,3,3,0.0,4
qefe646,6,16,3,4,2,0.0,2
zojo883,12,32,5,7,4,0.0,3
dero258,12,31,5,3,4,0.0,3
mika525,8,26,5,1,3,1.736842105,1
xohi599,11,28,5,6,5,0.0,3
tebe135,13,22,4,5,4,0.0,4
naso669,8,20,2,4,3,1.736842105,1
qecu035,10,32,5,5,4,0.0,4
zywy107,8,30,5,1,2,0.0,0
cave700,7,24,3,3,0,5.210526316,0
nupy082,10,30,5,5,4,0.0,4
hoge626,15,34,5,4,5,0.0,3
nivo041,12,27,5,6,5,0.0,4
karo919,6,16,2,4,3,0.0,2
vuhe805,7,25,5,5,4,0.0,0
kebi083,8,24,5,7,5,3.473684211,1
faly535,10,24,3,4,1,0.0,0
gelo627,10,23,2,3,2,0.0,1
vili771,12,30,5,3,5,0.0,3
katu927,9,32,5,3,3,0.0,3
xiza150,4,16,3,3,4,0.0,1
bevi590,10,28,5,7,4,0.0,1
huve181,10,20,5,4,2,0.0,0
fite050,13,31,5,6,4,0.0,1
nysu060,13,28,5,4,5,0.0,1
kaho190,10,24,5,4,4,6.947368421,0
lany944,15,34,5,5,6,0.0,3
maqu534,11,28,3,4,5,1.736842105,0
wuga870,10,28,4,3,5,5.210526316,0
wyva352,11,26,5,7,4,0.0,4
hime464,14,26,4,4,6,0.0,1
jexu775,11,27,5,5,4,0.0,0
tuga736,11,25,4,2,2,0.0,1
hyfe498,10,20,3,4,3,26.05263158,1
bomo360,10,32,5,6,5,0.0,3
lomo204,15,34,5,8,5,0.0,3
mipe544,9,28,5,4,4,0.0,1
hufy497,11,31,5,6,4,1.736842105,3
rapo919,15,31,4,0,6,8.684210526,4
gata076,2,14,2,4,0,0.0,2
muvo194,7,21,2,4,2,22.57894737,2
cywo537,8,24,5,6,5,0.0,0
xamy327,8,22,3,5,3,20.84210526,4
cogu074,10,26,5,7,6,0.0,0
rapo615,5,15,3,4,3,33.0,2
zady580,6,22,3,5,2,0.0,2
nujo284,12,26,4,4,6,1.736842105,0
syzu625,10,27,3,3,3,0.0,4
myte214,8,26,5,7,2,0.0,4
tyzo440,7,24,3,5,1,0.0,0
vyzo298,7,28,4,8,4,1.736842105,3
hiwu589,10,27,5,3,2,12.15789474,4
sazy810,10,26,5,8,5,0.0,3
turi097,8,22,3,8,3,0.0,1
foji729,7,26,5,6,4,0.0,3
dexe201,13,29,4,7,4,0.0,3
dosu709,9,28,3,7,3,0.0,0
doxe392,8,25,3,2,2,24.31578947,4
culu497,6,27,5,5,3,0.0,0
lije367,14,32,5,6,6,0.0,4
vice024,12,28,5,7,5,0.0,1
kapy740,8,27,5,8,5,0.0,3
vudi262,7,21,5,5,3,0.0,1
tuza510,10,22,5,7,3,0.0,0
tubo945,13,28,5,8,4,0.0,3
bofi323,7,21,5,5,5,6.947368421,0
zeji633,7,7,1,4,3,22.57894737,2
bowo488,1,19,4,8,2,6.947368421,0
pipo687,2,12,3,4,1,34.73684211,2
core934,9,25,5,6,4,1.736842105,4
dedu084,8,22,2,5,3,38.21052632,2
lowa532,3,6,0,5,2,52.10526316,2
zuha759,2,10,0,4,3,34.73684211,2
qafu966,5,8,2,5,0,52.10526316,2
lobo127,7,22,4,7,4,0.0,0
homa046,6,10,3,3,4,1.736842105,2
keno764,10,24,2,4,1,0.0,1
habe142,12,23,5,8,6,0.0,3
joti731,12,30,5,8,5,0.0,3
reve265,10,24,2,7,5,0.0,1
cyca115,13,32,5,6,5,0.0,3
rawo522,14,33,4,5,5,0.0,3
pogi169,12,33,5,6,4,0.0,4
vepi727,10,24,5,5,4,0.0,1
risy585,8,25,5,3,1,6.947368421,1
fefu774,11,32,4,4,4,0.0,3
wyxo615,11,30,5,7,4,0.0,0
ciby707,10,31,5,5,4,0.0,4
xuvy948,15,34,5,7,6,0.0,4
ravy196,15,33,5,8,6,0.0,3
loge702,10,23,4,5,3,0.0,3
viry492,10,27,5,5,3,0.0,0
gowa049,11,31,4,5,3,0.0,0
vyva107,11,29,4,4,4,0.0,3
duxo262,12,31,5,7,4,0.0,3
peto053,12,30,5,7,6,0.0,3
difi858,14,30,5,5,3,0.0,3
xoru423,9,26,5,4,4,0.0,0
wizy437,14,29,5,6,7,0.0,0
kuge219,12,31,5,6,4,0.0,4
hazu473,9,22,5,6,5,0.0,0
gono087,11,27,4,4,5,0.0,3
vury347,10,25,3,7,5,1.736842105,3
copo281,5,13,1,5,0,0.0,2
heda014,13,31,5,5,5,0.0,0
powu461,11,30,5,8,5,0.0,3
peqa279,9,28,4,8,5,0.0,3
lufy687,8,21,5,4,3,0.0,4
koze985,12,30,5,7,6,0.0,3
hadi890,9,24,5,7,4,0.0,1
recu163,12,34,4,5,2,0.0,4
xyzi642,11,32,5,7,4,0.0,4
nejy388,9,27,3,5,0,3.473684211,4
tezy480,11,25,5,5,6,0.0,3
nawu690,9,26,5,5,4,0.0,1
mofe780,6,24,4,3,3,0.0,4
nily317,6,13,1,5,2,1.736842105,2
roho333,11,23,3,4,1,3.473684211,2
xime971,7,19,2,3,2,0.0,2
muqo157,9,23,1,6,2,0.0,0
riby296,8,23,4,6,4,0.0,1
pala257,10,24,4,8,6,0.0,3
tuby409,12,29,3,4,5,0.0,1
hoxo855,8,25,4,4,2,0.0,0
qixy634,11,30,5,8,6,0.0,4
niri091,12,28,2,4,4,0.0,0
lazi600,12,29,4,7,5,5.210526316,3
qedo478,8,21,2,7,3,0.0,1
ruhu758,13,28,4,8,6,0.0,3
cima563,12,31,5,8,5,0.0,3
lyzy104,10,26,4,5,4,0.0,4
xafy802,11,28,5,5,4,0.0,0
bacy598,7,4,0,5,3,1.736842105,2
kexi927,11,17,2,3,2,36.47368421,1
cumo221,11,26,4,7,5,0.0,3
kami789,7,22,4,6,2,0.0,0
zoko875,12,29,5,7,6,8.684210526,1
sina926,8,29,4,6,3,3.473684211,3
fise899,10,24,3,5,4,1.736842105,0
cija437,13,30,5,5,5,0.0,1
manu258,10,29,5,5,2,0.0,4
zuwa573,10,28,5,6,4,0.0,0
joxi410,6,18,4,5,3,1.736842105,2
muta539,16,33,5,8,7,0.0,3
reqy562,15,31,5,5,7,0.0,3
doxe492,11,28,5,7,5,0.0,3
gylu244,8,18,3,3,4,1.736842105,1
maxy370,12,33,5,4,3,0.0,0
ryko512,13,31,5,8,4,0.0,3
kula014,12,32,4,5,5,0.0,3
jeqy595,10,23,3,3,3,0.0,1
guva627,13,33,5,5,3,0.0,3
lohy238,13,33,5,6,4,0.0,0
cobi870,10,26,3,3,3,0.0,1
giki066,14,34,5,7,5,0.0,3
hywy001,11,29,4,4,4,0.0,1
feji918,8,30,5,5,3,0.0,0
luli756,10,30,4,5,2,0.0,1
wumu083,13,30,5,8,5,0.0,0
cyga680,11,33,5,5,3,0.0,3
buvy316,11,31,3,4,4,0.0,0
rejy122,12,32,5,5,2,0.0,0
dusi300,12,32,5,8,1,0.0,0
howe436,12,29,5,6,5,0.0,0
ropi792,14,34,5,6,3,0.0,3
jemy300,11,33,5,7,4,0.0,3
qexo432,13,30,5,2,5,0.0,3
kyso927,13,33,4,4,3,0.0,3
cozi663,7,14,3,4,2,0.0,1
vani542,11,26,5,5,3,0.0,3
kaxu871,9,30,4,7,3,0.0,0
moku835,15,34,4,3,6,0.0,3
cahe192,11,32,5,5,4,0.0,3
feso129,12,34,5,8,2,0.0,1
tufa140,15,32,5,7,6,0.0,1
zigi489,6,22,4,4,3,3.473684211,1
dahi696,10,29,5,7,4,0.0,3
quhe482,7,17,2,5,3,1.736842105,1
taxa827,11,27,5,5,4,0.0,3
vuga321,12,33,4,4,2,0.0,3
nycu731,11,31,4,8,3,1.736842105,1
raxy329,12,30,5,2,4,0.0,3
nyfe489,12,30,4,8,5,0.0,0
texu966,9,23,3,5,3,3.473684211,1
kifo712,11,26,3,4,3,0.0,1
pajo050,9,26,3,4,3,22.57894737,1
hefy659,10,22,4,5,4,5.210526316,1
tujy672,12,32,3,3,4,0.0,1
cyfe247,7,15,1,5,4,0.0,1
xori482,9,27,3,4,5,3.473684211,1
raje697,9,30,5,7,3,0.0,3
biwu043,5,21,5,4,4,0.0,1
cylu852,10,27,5,8,3,0.0,0
fode209,10,28,3,5,1,0.0,4
woju333,7,27,5,3,2,3.473684211,0
saca329,12,31,5,7,3,0.0,0
jizi110,8,27,5,5,2,0.0,4
vyxi492,14,32,5,6,6,0.0,3
xehy451,9,26,5,6,4,0.0,4
feke878,8,19,5,5,6,1.736842105,0
rozu771,10,27,2,6,1,0.0,4
duvi856,15,32,5,7,5,0.0,0
nexu635,11,26,3,6,5,0.0,3
cozi454,7,27,5,2,2,0.0,4
saze236,11,29,3,5,2,0.0,0
quzy338,12,29,3,5,3,0.0,0
lula174,11,31,5,7,4,0.0,3
buzo685,8,25,5,5,1,5.210526316,1
huby293,14,32,5,7,5,0.0,4
dyhi182,10,25,5,5,4,0.0,0
tatu362,13,31,4,4,5,0.0,0
bene344,11,30,5,7,2,0.0,4
keho061,8,24,4,5,3,0.0,1
vyxy108,9,22,4,6,4,0.0,0
zusa663,13,28,5,7,6,0.0,0
nehe056,13,32,5,8,5,0.0,3
myve834,15,32,5,7,7,0.0,3
tyhy481,7,21,4,6,4,0.0,0
sati762,7,25,4,4,3,0.0,0
biku776,9,24,5,5,3,0.0,0
wify666,12,32,5,8,4,0.0,3
sony276,12,29,5,7,5,0.0,3
tusi463,10,27,4,5,3,0.0,0
baco446,5,21,3,5,2,19.10526316,1
coni238,12,27,3,4,3,29.52631579,1
tuvu087,3,16,3,5,3,29.52631579,1
vuci475,11,25,3,4,3,22.57894737,1
seto741,8,13,0,2,1,33.0,2
jewe923,13,29,4,4,5,6.947368421,1
jaqy340,8,26,3,4,3,22.57894737,1
pubu440,3,16,2,3,0,12.15789474,2
gyjy255,11,28,5,3,4,6.947368421,1
zyte492,13,29,5,6,6,0.0,3
ruco451,7,24,3,5,3,22.57894737,2
loda300,7,23,3,7,3,19.10526316,1
moly152,9,15,3,5,3,45.15789474,2
cuba307,10,27,5,4,3,6.947368421,3
jupo405,8,21,3,5,0,34.73684211,1
xuke183,11,27,1,6,5,0.0,3
mado232,10,22,2,4,2,34.73684211,2
zafy372,15,30,5,7,7,0.0,3
gyly160,5,21,4,6,4,3.473684211,1
tapi010,8,15,2,3,2,45.15789474,2
gelu604,16,32,5,8,7,0.0,3
qiqi041,10,27,3,3,3,22.57894737,1
ratu271,6,26,5,5,3,0.0,0
kyqu130,9,30,5,8,4,0.0,3
lucu601,10,27,5,8,4,0.0,3
kama922,11,26,5,7,1,0.0,0
zoma564,14,30,3,3,4,3.473684211,1
puju088,12,30,4,5,1,0.0,0
jufy997,10,31,5,6,5,0.0,4
wyja070,12,32,4,5,1,0.0,4
dasy955,9,25,5,4,3,0.0,3
wyki565,7,25,5,3,3,0.0,1
garu074,9,27,5,7,6,0.0,1
qyxy586,10,26,5,7,5,0.0,0
kegi864,14,32,5,6,4,0.0,3
gyge774,13,31,5,2,2,0.0,3
vyda893,6,10,0,0,2,1.736842105,2
vuvy608,15,30,4,7,5,0.0,0
vizo712,10,28,4,6,5,0.0,1
givi158,6,27,3,5,1,0.0,0
caro445,11,30,5,5,2,0.0,3
nene689,12,31,5,7,4,0.0,0
ryfy568,9,26,4,3,3,0.0,3
johy783,9,17,4,2,4,6.947368421,0
sulo956,7,22,5,6,4,0.0,0
gony054,10,31,5,7,3,0.0,0
puca767,11,26,4,5,5,0.0,0
baky109,10,18,0,4,2,0.0,1
mabo887,10,26,5,5,5,1.736842105,0
cona428,10,30,5,3,5,0.0,4
lilo882,12,28,5,5,3,0.0,0
gycy436,8,27,5,5,3,0.0,1
jyri631,13,29,5,7,3,0.0,4
safu128,11,32,5,7,4,0.0,3
fore104,10,29,4,7,4,0.0,3
zabe850,13,30,5,6,4,0.0,3
woci389,12,27,4,6,5,0.0,0
kygi723,11,30,3,5,4,0.0,0
qejy219,12,34,5,6,4,0.0,3
jago498,11,29,5,7,2,0.0,0
buby593,12,29,5,5,4,0.0,3
dapu822,11,31,3,7,3,0.0,4
sugu976,3,21,4,5,4,0.0,1
wuxa997,9,24,2,5,3,0.0,1
tiqy778,9,27,5,6,4,0.0,3
xyfe491,5,14,3,4,3,0.0,1
ryhy064,10,32,5,6,3,0.0,3
kufi222,11,25,4,7,5,0.0,1
xaja332,9,27,5,5,3,0.0,3
fofa613,9,22,2,3,6,0.0,1
viba035,4,20,3,5,3,0.0,1
qewy924,12,27,5,6,6,0.0,1
pytu496,7,23,4,5,5,0.0,3
tosa657,13,32,5,4,6,0.0,3
keri121,14,34,5,8,5,0.0,3
bofi991,10,22,4,3,4,0.0,1
bihi184,6,6,0,4,0,57.31578947,2
piro376,8,23,5,8,4,1.736842105,0
zejy480,5,19,4,5,2,5.210526316,0
zapy404,11,22,4,4,4,0.0,0
lusi512,9,25,5,4,3,0.0,0
sedo490,2,8,3,4,1,20.84210526,2
davu999,9,30,5,6,1,0.0,3
buby236,3,7,2,5,2,0.0,2
weru214,11,28,2,7,5,0.0,3
tyly265,4,15,1,4,0,17.36842105,2
nise834,3,11,0,3,1,57.31578947,2
voxy002,7,11,0,2,0,20.84210526,2
fypi681,10,28,3,6,1,5.210526316,0
xopa120,5,10,0,4,0,62.52631579,2
wari483,8,25,3,5,4,0.0,1
kegy317,10,29,5,6,1,0.0,3
geka905,10,27,5,5,5,0.0,0
lore323,3,13,2,5,0,6.947368421,2
vane668,11,31,4,8,5,0.0,4
zuxy510,3,6,0,0,0,74.68421053,2
masu336,8,31,5,5,1,5.210526316,1
xise560,10,24,3,4,6,0.0,1
zomi496,9,21,3,4,5,0.0,4
lilu285,3,9,1,3,1,0.0,2
heqi003,4,4,3,3,2,24.31578947,2
jise415,10,32,5,8,4,0.0,3
vabe169,14,30,4,8,7,0.0,3
kofa904,6,20,1,3,3,5.210526316,2
peqo117,5,7,0,3,0,55.57894737,2
gaho243,8,29,5,5,3,0.0,0
mude815,7,9,0,4,5,19.10526316,2
raxe285,12,25,2,5,3,0.0,1
qami382,13,29,5,6,4,0.0,0
bebo956,5,17,3,5,0,5.210526316,2
cofi309,11,28,4,5,5,0.0,4
buqe642,14,31,4,6,4,0.0,3
vuzo690,9,26,5,8,1,5.210526316,4
posy958,12,31,3,7,3,17.36842105,1
gaga585,9,26,4,5,4,0.0,1
vopa930,12,26,5,4,3,5.210526316,3
xutu412,15,34,5,7,6,0.0,3
doxi119,7,17,1,4,2,0.0,2
feqy379,11,27,5,5,6,0.0,3
xypo299,6,12,1,8,3,17.36842105,2
gahu141,14,30,5,7,5,0.0,3
kyse146,13,32,5,5,4,0.0,3
sedi312,11,27,2,8,5,0.0,3
nasi298,13,30,5,7,5,0.0,3
naky151,6,22,4,7,2,0.0,4
koqa816,16,33,5,7,6,0.0,3
sila763,13,30,4,7,5,0.0,3
pody147,11,28,5,8,4,0.0,3
voza333,14,34,5,7,3,0.0,3
tiro932,10,27,3,7,4,0.0,3
wujy562,12,32,4,5,4,0.0,4
hamu369,12,32,5,4,5,0.0,4
nape687,7,7,1,5,3,13.89473684,2
gevi782,10,27,4,6,3,0.0,0
qoha890,16,32,5,8,7,0.0,3
fili803,13,32,5,5,5,0.0,3
puce552,9,21,4,3,3,0.0,1
buny935,13,31,4,4,1,0.0,3
pimi228,9,24,5,3,4,0.0,0
kyjo289,12,30,5,4,3,0.0,0
bepo134,12,29,4,7,3,0.0,3
kise589,13,29,5,3,5,0.0,0
remi231,10,26,3,7,1,0.0,0
qyjo579,11,32,5,4,1,3.473684211,4
cyhu257,7,19,5,4,3,5.210526316,1
diha837,12,27,4,5,4,0.0,3
ware232,14,31,5,7,5,0.0,0
hyge979,12,31,4,5,5,0.0,0
biqe951,10,31,4,5,3,0.0,3
jide437,14,33,5,7,4,0.0,3
zipu412,12,28,5,6,5,0.0,3
vate767,13,32,5,3,3,0.0,3
mefy253,11,29,4,8,3,0.0,0
qafe413,6,22,5,4,3,0.0,1
lota555,2,7,4,4,1,0.0,2
mecu237,10,32,4,3,4,6.947368421,0
cidy099,13,33,5,6,4,0.0,3
xoba600,14,32,5,3,5,3.473684211,4
joce161,3,11,1,2,3,17.36842105,2
kywu572,14,29,5,7,6,0.0,3
jefi901,12,33,5,5,4,0.0,3
mari840,13,30,3,3,5,0.0,4
nypy058,11,21,3,6,3,0.0,1
rino885,12,32,4,3,3,0.0,3
maju644,7,26,3,3,1,3.473684211,1
qosy291,8,31,5,5,3,0.0,1
posy537,13,31,5,6,5,0.0,3
xoki390,10,20,2,5,4,5.210526316,0
fagi164,7,23,3,3,4,0.0,1
zozy719,11,28,5,6,4,0.0,1
bopa107,9,33,4,5,3,5.210526316,1
jyly989,10,27,5,3,2,3.473684211,1
togu404,11,29,5,4,5,0.0,1
gosa272,10,23,3,4,5,1.736842105,0
fovo989,13,30,5,6,7,5.210526316,3
sira606,11,29,3,4,4,10.42105263,1
loby351,10,30,4,4,3,0.0,1
fike806,9,26,4,7,3,3.473684211,1
fafe171,7,18,0,4,3,24.31578947,2
zyvo780,12,32,5,5,5,0.0,3
xune455,11,29,3,5,4,0.0,0
vamu972,14,33,5,3,5,0.0,0
suzo040,11,24,5,4,4,0.0,4
wype120,7,26,3,5,3,1.736842105,2
jicu869,4,24,5,4,3,1.736842105,1
wero373,12,32,5,3,6,0.0,3
juqo313,11,30,5,7,3,0.0,3
vexo008,9,20,3,4,2,1.736842105,0
punu787,8,18,4,1,0,10.42105263,2
tomo782,6,9,0,0,0,72.94736842,2
cupe992,5,14,3,0,1,27.78947368,2
kyjo535,11,25,3,5,5,0.0,1
raja244,6,26,3,7,2,0.0,1
pino324,9,23,5,7,4,0.0,4
qutu379,8,20,3,3,1,0.0,2
nolu547,6,23,3,4,4,0.0,4
cape571,5,15,2,3,1,0.0,1
coma628,14,27,4,5,6,0.0,3
mida684,14,33,5,5,5,0.0,3
gaqe214,12,30,5,5,5,0.0,3
pufe463,16,32,4,6,6,0.0,3
fifa517,13,31,5,7,5,0.0,3
wuzy577,15,34,5,7,6,0.0,3
sire515,14,34,5,6,4,0.0,3
xyhi085,13,33,5,6,3,0.0,1
nexy906,12,32,5,6,4,0.0,3
pyzi618,16,34,5,6,6,0.0,4
muku118,10,30,4,5,4,0.0,1
kewi488,9,29,5,4,2,0.0,1
xafu780,4,11,1,2,2,0.0,2
wowy820,4,15,0,4,0,34.73684211,2
ryzo168,9,22,4,8,6,0.0,3
xavy753,7,7,0,4,3,48.63157895,2
deje129,11,10,0,4,2,55.57894737,2
