IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
jise415,424,3,3,3
vabe169,425,7,7,7
kofa904,426,2,2,2
peqo117,427,10,10,10
gaho243,428,6,6,6
mude815,429,10,10,10
raxe285,430,4,4,4
qami382,431,11,11,11
bebo956,432,2,2,2
cofi309,433,13,13,13
buqe642,434,9,9,9
vuzo690,435,6,6,6
posy958,436,11,11,11
gaga585,437,4,4,4
vopa930,438,8,8,8
xutu412,439,7,7,7
doxi119,440,5,5,5
feqy379,441,1,1,1
xypo299,442,2,2,2
gahu141,443,3,3,3
kyse146,444,11,11,11
sedi312,445,1,1,1
nasi298,446,7,7,7
naky151,447,0,0,0
koqa816,448,7,7,7
sila763,449,1,1,1
pody147,450,9,9,9
voza333,451,7,7,7
tiro932,452,8,8,8
wujy562,453,11,11,11
hamu369,454,13,13,13
nape687,455,2,2,2
gevi782,456,6,6,6
qoha890,457,3,3,3
fili803,458,3,3,3
puce552,459,5,5,5
buny935,460,4,4,4
pimi228,461,14,14,14
kyjo289,462,6,6,6
bepo134,463,1,1,1
kise589,464,13,13,13
remi231,465,0,0,0
qyjo579,466,8,8,8
cyhu257,467,5,5,5
diha837,468,4,4,4
ware232,469,12,12,12
hyge979,470,11,11,11
biqe951,471,8,8,8
jide437,472,7,7,7
zipu412,473,4,4,4
vate767,474,4,4,4
mefy253,475,13,13,13
qafe413,476,10,10,10
lota555,477,10,10,10
mecu237,478,8,8,8
cidy099,479,3,3,3
xoba600,480,9,9,9
joce161,481,10,10,10
kywu572,482,3,3,3
jefi901,483,9,9,9
mari840,484,8,8,8
nypy058,485,4,4,4
rino885,486,4,4,4
maju644,487,10,10,10
qosy291,488,4,4,4
posy537,489,3,3,3
xoki390,490,10,10,10
fagi164,491,5,5,5
zozy719,492,11,11,11
bopa107,493,9,9,9
jyly989,494,4,4,4
togu404,495,8,8,8
gosa272,496,14,14,14
fovo989,497,9,9,9
sira606,498,1,1,1
loby351,499,8,8,8
fike806,500,4,4,4
fafe171,501,2,2,2
zyvo780,502,1,1,1
xune455,503,4,4,4
vamu972,504,3,3,3
suzo040,505,0,0,0
wype120,506,4,4,4
jicu869,507,14,14,14
wero373,508,1,1,1
juqo313,509,9,9,9
vexo008,510,2,2,2
punu787,511,2,2,2
